# Log Format
# ZCZC WEEK# MINUTES LogCode Description
# LogCode: https://osp4diss.vlsm.org/ETC/logCodes.txt
ZCZC W00 10	L03 Make GitHub Repository
ZCZC W00 30	L04 Create GitHub Pages
ZCZC W01 30     L03 Setting SSH github
ZCZC W01 200    L11 Assignment week 1
ZCZC W01 60     L61 Install Virtual Box
ZCZC W01 60     L62 Install Virtual Debian Guest
ZCZC W01 200    L02 CLASSROOM meetings OS
ZCZC W01 10     L41 update mylog.txt
ZCZC W01 30     L06 Find references for problem
ZCZC W01 30     L08 OS Chat related     
ZCZC W02 30     L03 Github related
ZCZC W02 10     L41 update mylog.txt
ZCZC W02 200    L02 CLASSROOM meetings OS
ZCZC W02 200    L12 Assigment week 2
ZCZC W02 60     L06 Find references for LINKS/
ZCZC W02 5      L42 TXT/mypubkey.txt related.
ZCZC W02 30     L43 TXT/myrank.tex related, including peer review
ZCZC W02 30     L44 TXT/myscript.sh related.
ZCZC W03 120    L13 Assignment #03
ZCZC W03 10     L41 update mylog.txt
ZCZC W03 60     L06 Find references for LINKS/
ZCZC W03 30     L08 OS Chat related 
ZCZC W03 30     L03 Github related 
ZCZC W03 5      L42 TXT/mypubkey.txt related.
ZCZC W03 30     L43 TXT/myrank.tex related, including peer review
ZCZC W03 30     L44 TXT/myscript.sh related.
ZCZC W04 30     L03 Github related
ZCZC W04 10     L41 upadate mylog.txt
ZCZC W04 200    L02 CLASSROOM meetings OS
ZCZC W04 90     L14 Assignment #04
ZCZC W04 60     L06 Find references for LINKS/
ZCZC W04 30     L08 OS Chat related
ZCZC W04 5      L42 TXT/mypubkey.txt related. 
ZCZC W04 20     L43 TXT/myrank.tex related, including peer review.
ZCZC W05 20     L44 TXT/myscript.sh related.
ZCZC W05 30     L03 Github related
ZCZC W05 10     L41 upadate mylog.txt
ZCZC W05 200    L02 CLASSROOM meetings OS
ZCZC W05 90     L15 Assignment #05
ZCZC W05 60     L06 Find references for LINKS/
ZCZC W05 30     L08 OS Chat related
ZCZC W05 5      L42 TXT/mypubkey.txt related.
ZCZC W05 20     L43 TXT/myrank.tex related, including peer review.
ZCZC W05 20     L44 TXT/myscript.sh related. 
ZCZC W05 20     L44 TXT/myscript.sh related.
ZCZC W05 30     L03 Github related
ZCZC W05 10     L41 upadate mylog.txt
ZCZC W05 200    L02 CLASSROOM meetings OS
ZCZC W05 90     L16 Assignment #06
ZCZC W05 60     L06 Find references for LINKS/
ZCZC W05 30     L08 OS Chat related
ZCZC W05 5      L42 TXT/mypubkey.txt related.
ZCZC W05 20     L43 TXT/myrank.tex related, including pe>
ZCZC W05 20     L44 TXT/myscript.sh related.
ZCZC W07 30     L03 Github related
ZCZC W07 10     L41 upadate mylog.txt
ZCZC W07 200    L02 CLASSROOM meetings OS
ZCZC W07 90     L17 Assignment #07
ZCZC W07 60     L06 Find references for LINKS/
ZCZC W07 30     L08 OS Chat related
ZCZC W07 5      L42 TXT/mypubkey.txt related.
ZCZC W07 20     L43 TXT/myrank.tex related, including peer review.
